state,x,y
Alabama,120,-77
Alaska,-204,-170
Arizona,-203,-40
Arkansas,40,-53
California,-312,6
Colorado,-112,20
Connecticut,280,80
Delaware,275,42
Florida,205,-145
Georgia,170,-75
Hawaii,-317,-143
Idaho,-216,122
Illinois,85,37
Indiana,121,39
Iowa,38,65
Kansas,-17,5
Kentucky,149,1
Louisiana,48,-129
Maine,319,164
Maryland,276,24
Massachusetts,290,105
Michigan,128,95
Minnesota,12,155
Mississippi,80,-105
Missouri,36,6
Montana,-141,150
Nebraska,-61,66
Nevada,-257,56
New Hampshire,288,127
New Jersey,282,65
New Mexico,-145,-43
New York,236,104
North Carolina,210,-28
North Dakota,-64,158
Ohio,176,52
Oklahoma,-28,-41
Oregon,-278,138
Pennsylvania,207,63
Rhode Island,292,90
South Carolina,202,-57
South Dakota,-64,109
Tennessee,117,-36
Texas,-38,-106
Utah,-189,34
Vermont,282,154
Virginia,225,0
Washington,-280,187
West Virginia,193,20
Wisconsin,63,100
Wyoming,-134,90
